epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5903,1.08703,3.50125,1.53403,0.00954,0.98718,0.23235,0.12599,1.03666,4.00332,1.6165,0.00011,0.00011,0.00011
2,128.106,1.04202,3.12575,1.4688,0.01243,0.98718,0.27305,0.17491,1.00336,3.92671,1.5909,0.000225446,0.000225446,0.000225446
3,192.022,1.06478,2.67246,1.50371,0.0102,0.81802,0.21602,0.12559,1.30982,4.05067,1.99716,0.00033614,0.00033614,0.00033614
4,258.68,1.10639,2.36884,1.53429,0.70437,0.01852,0.20392,0.09569,1.78734,4.09222,2.59856,0.000442082,0.000442082,0.000442082
5,328.61,1.16128,2.19086,1.56143,0.63579,0.23458,0.30243,0.19511,1.36191,3.54146,1.95564,0.000543272,0.000543272,0.000543272
6,390.724,1.04866,2.03759,1.48008,0.3392,0.32261,0.34818,0.2019,1.28746,3.4572,1.90087,0.00063971,0.00063971,0.00063971
7,446.809,1.06298,2.01509,1.48726,0.2982,0.32194,0.32189,0.16996,1.53562,3.4394,2.03948,0.000731396,0.000731396,0.000731396
8,507.786,1.07794,1.95806,1.47909,0.20173,0.3303,0.223,0.09235,1.83606,3.87636,2.52194,0.00081833,0.00081833,0.00081833
9,574.511,1.15049,1.91237,1.4992,0.29717,0.4016,0.3058,0.14914,1.77662,3.86205,2.44096,0.0008416,0.0008416,0.0008416
10,645.264,1.00811,1.83563,1.45288,0.19668,0.34572,0.22078,0.10187,1.61745,3.80624,2.10925,0.0008218,0.0008218,0.0008218
11,714.481,1.0572,1.77039,1.45102,0.68281,0.28989,0.30001,0.11925,1.76285,4.69262,2.30744,0.000802,0.000802,0.000802
12,780.809,1.0677,1.71321,1.43609,0.19693,0.29915,0.29679,0.0908,1.79171,3.83625,2.63119,0.0007822,0.0007822,0.0007822
13,847.267,1.05084,1.67755,1.46726,0.38787,0.35997,0.32123,0.17957,1.58474,4.34062,2.40845,0.0007624,0.0007624,0.0007624
14,905.667,1.05236,1.63973,1.44537,0.55875,0.28772,0.31318,0.16528,1.61327,3.65637,2.32567,0.0007426,0.0007426,0.0007426
15,964.242,0.97064,1.5714,1.39545,0.28692,0.42415,0.29745,0.13474,1.61321,4.40325,2.30575,0.0007228,0.0007228,0.0007228
16,1029.28,0.95958,1.52354,1.39463,0.37014,0.45334,0.34544,0.15513,1.83317,3.26735,2.81566,0.000703,0.000703,0.000703
17,1090,0.95652,1.52055,1.37756,0.56031,0.39993,0.46084,0.24556,1.65843,3.05293,2.43836,0.0006832,0.0006832,0.0006832
18,1154.43,0.93638,1.48095,1.33662,0.46737,0.35007,0.29303,0.16983,1.65058,3.78101,2.44687,0.0006634,0.0006634,0.0006634
19,1216.5,0.88988,1.35687,1.31574,0.48606,0.39348,0.30925,0.16929,1.51016,3.45359,2.20409,0.0006436,0.0006436,0.0006436
20,1281.2,0.8984,1.39105,1.29515,0.4022,0.51603,0.35165,0.1973,1.64184,3.08306,2.33975,0.0006238,0.0006238,0.0006238
21,1343.79,0.8723,1.32841,1.30534,0.53364,0.41698,0.42609,0.24983,1.66964,2.7742,2.28558,0.000604,0.000604,0.000604
22,1410.04,0.78241,1.26232,1.26937,0.54681,0.38712,0.41238,0.24384,1.76729,2.66438,2.4116,0.0005842,0.0005842,0.0005842
23,1480.36,0.87601,1.37932,1.30629,0.53714,0.35499,0.39441,0.23047,1.73202,2.69239,2.30534,0.0005644,0.0005644,0.0005644
24,1547.24,0.84553,1.28056,1.30438,0.43202,0.4427,0.4525,0.25509,1.7101,2.58905,2.24888,0.0005446,0.0005446,0.0005446
25,1610.27,0.85268,1.27256,1.28204,0.38978,0.4359,0.4042,0.23651,1.57762,2.67947,2.12986,0.0005248,0.0005248,0.0005248
26,1676.52,0.87674,1.26536,1.30426,0.52441,0.42724,0.43301,0.24148,1.59249,2.57971,2.09673,0.000505,0.000505,0.000505
27,1740.08,0.78576,1.19795,1.26102,0.63198,0.4458,0.46561,0.26075,1.67657,2.58792,2.2637,0.0004852,0.0004852,0.0004852
28,1804.87,0.82917,1.18979,1.26015,0.56541,0.45106,0.4566,0.24203,1.74689,2.55811,2.3117,0.0004654,0.0004654,0.0004654
29,1867.02,0.75458,1.04917,1.19044,0.45825,0.43744,0.45159,0.25416,1.61287,2.55239,2.21387,0.0004456,0.0004456,0.0004456
30,1923.93,0.76256,1.06682,1.212,0.42262,0.53985,0.48761,0.24977,1.55583,2.90746,2.13097,0.0004258,0.0004258,0.0004258
31,1984.85,0.78862,1.1169,1.26655,0.56178,0.37545,0.43351,0.24481,1.52006,2.80001,2.045,0.000406,0.000406,0.000406
32,2047.12,0.7427,1.07878,1.22405,0.59681,0.47276,0.49222,0.29971,1.55159,2.65098,2.05498,0.0003862,0.0003862,0.0003862
33,2103.55,0.73677,1.0603,1.20382,0.93207,0.38318,0.53495,0.31278,1.59303,2.60083,2.13089,0.0003664,0.0003664,0.0003664
34,2161.87,0.69177,0.97043,1.16935,0.80442,0.43543,0.52373,0.29954,1.64394,2.5444,2.20835,0.0003466,0.0003466,0.0003466
