epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8687,1.06941,4.00066,1.60886,0.00516,0.86432,0.1216,0.06592,1.36332,4.26395,2.02125,0.00011,0.00011,0.00011
2,140.281,0.97906,3.41746,1.57358,0.00442,0.80627,0.22358,0.1348,1.19626,4.12664,1.91768,0.00020723,0.00020723,0.00020723
3,210.614,0.96097,3.0292,1.55684,0.00503,0.87464,0.17802,0.09923,1.38881,4.09837,2.18632,0.0002807,0.0002807,0.0002807
4,268.097,0.92774,2.66089,1.48979,0.00544,0.90598,0.30025,0.14815,1.38248,3.89158,2.01849,0.00033041,0.00033041,0.00033041
5,336.301,0.91372,2.43888,1.47813,0.67002,0.17414,0.21178,0.11579,1.58889,3.95581,2.33891,0.00035636,0.00035636,0.00035636
6,398.838,0.91383,2.36345,1.46741,0.65799,0.19142,0.37423,0.24936,1.40004,3.59336,2.07745,0.00035855,0.00035855,0.00035855
7,455.943,0.84844,2.23706,1.42436,0.65072,0.36396,0.45705,0.25096,1.3977,3.32274,2.07644,0.00033698,0.00033698,0.00033698
8,518.552,0.82239,2.00593,1.4052,0.70228,0.50627,0.55168,0.33758,1.39064,3.15954,2.01984,0.00029165,0.00029165,0.00029165
9,576.991,0.74812,1.89097,1.31543,0.65796,0.51867,0.59778,0.36749,1.34583,3.02548,1.95663,0.000208,0.000208,0.000208
10,636.523,0.73524,1.80362,1.28354,0.57834,0.57734,0.59638,0.36349,1.45049,2.87135,2.00215,0.000109,0.000109,0.000109
